,text,label
22,    You're the only one who can see this cause no one else is following me this is for you because you're pretty awesome,1
26,   can't be bothered. i wish i could spend the rest of my life just sat here and going to gigs. seriously.,0
31,   i miss you guys too     i think i'm wearing skinny jeans a cute sweater and heels   not really sure   what are you doing today,0
117,"  True, highly subjective of me there. Tombre was actually my favorite character in the book. You got me  - http://is.gd/13be0 - Rishabh",1
129, - You: hi Stranger: HELLO I AM FRANK LAMPARD HOW ARE YOU You: fine You: and urself Stranger: i am gay Your... http://tumblr.com/xaj24dkly,0
175, @ progressing in the production department with &quot;The Uprizing&quot; thats the priority getting the head nodding beats and then we reach out,1
189, @copicmarker&quot; facebook.com/copic.marker if you're cool. Or if you're not cool. Maybe I'll send some cool .. http://tr.im/oyT7,1
199,"- @EvertB which one? http://bit.ly/10o8LW, http://bit.ly/Nh82S or http://bit.ly/wr8Vz - latter for the US Store only  #iphone #comics",0
268,"   let's have a moment of silence for our childhood homes... sadly, it can't be replaced and we can never go back",0
337,"       Orlando Lost  The Series. Oh Well, Maybe Phoenix, Or Boston, Or Cleveland (The Teams I Like) Will Make It Next Year!",0
364,   bye guys!!!! i'ma miss ya'll sooo sooo much! but don't worry i'll be back on monday!!! have an awesome weekend!!! peace!!!!,0
379,- @serialseb Always thought time estimates should use 'value of Pi rule' (x 3.14). Only exception being 'Pi squared rule'. ,1
384, @squarespace it's now fathers day and you haven't picked me...yet. I kind of want to incessantly bother you...#squarespace,0
442,  I'm here to tell ya ... very yummy.  Decided to go on a hunt for blender drinks ... know any good ones?,1
456," - my picture with Kris Karmada is gone forever, its not in my comments, on my mysapce or on my... http://tumblr.com/xzg1wy4jj",0
485, am sad to say i didn't get my results today somehow the school forgot to mail my results to me?? Typical. Ugh,0
596, awake...finally..random dream...i was a penguin but i lived in jersey and i oddly lived in a icecream store lolz ,1
625, besides that great graduation day. I finaly made it I'm a highschool graduate ! Moms word .. Chapter close .. Keep pushing foward.,0
641," - Well i wrote a missive post about last night and all the things that happened, it got deleted tho by... http://tumblr.com/x9c238auy",0
672," , school! GrRr im not in the mood to take my make up back off then put it on again when the teachers leave!",0
758," @gigia: &quot;@Mama_K: &quot;Nobody told me Violent Femmes covered Gnarls Barkley! &quot; tks, dude!! &quot; ? http://blip.fm/~6svjq",1
809, Can't log into my computer at work.  ack!  Got lots to do. IT guru out today. can anyone help me?,0
812," can't sleep, so damn miserable! I'm sooooo itchy please help, I can't sleep, I'm going to cry! :'(",0
862, Diplomatic husband to his wife &quot;How do u expect me to remember ur birthday when u never look any older?&quot; (via @normaltusker @nehabagoria),1
954," @SandyU @MightyBoognish @kittyireland It's light with a bit of punch. Mission=San Francisco gin, Mexican liqueur, seemed an apt name.",1
1009,- getting ready to watch the Sprint Cup boys try to tame the concrete Monster Mile! hopefully tires won't be too much of an issue! ,1
1029, gonna miss jesse mccartney's live stream from kiss concert cuz i have to babysit. figures they dont have internet klfjhadsklfhk fml,0
1088, Great Falls Tribune story  only talks of scouts in title. Story's theme is Be prepared when back country  traveling. http://bit.ly/8cRXR,0
1133, all that carpet cleaning for nothing... the carpets smell bad now at the old house. We have to call a carpet cleaner. ,0
1164, after next wednesday i wont be able to snuggle with lilly when i go to bed. she's the BEST dog ever.,0
