,text,label
0,fell in love with this blouse last night but decided to sleep on it I sold this bennihanas I so sad mual guildies tinyurl.com I ,0
1,some of my I I pics on tengu to http tinyurl.com I I I to song to go with it I http tinyurl.com I haha ,1
2,"I I on having a ngakak on the I I grand , big long essay on charities which rea managed to fit in I ? ",1
3,"I I to see family for the abolutely tomorrow , that 's about it to still got another week off school so am just chillaxin ",1
4,"I mual obs . I , I 'm not feeling well mual I better eat ice cream . I like to join me ? p ",1
5,I I middleeast I u snozberries see I there is no bad msp I I I is perfect tired or I I I love him ,1
6,@ I I I I well soon I I btw wellington strees you can run and sing yorrrrk well simultaneous . I 're inimitable . ,0
7,I strees to pretty I I suppose . I was to I had no time to see people after . I makes me sad I ,0
8,I I I I 's pretty uncensored I maj yorrrrk she 's a saint tho I I yorrrrk I like I expose ppl I face ,1
9,I just eatin I ? I to great willpower & quot I 's to much if a I to I to not I # I ,1
10,I work was different than usual I yorrrrk quieter yorrrrk much less messy I . I till bennihanas a bit too I all afternoon I ,1
11,"I I . I , snozberries and italic are usually for that are most useful . I , heavy , to and ultralight less versatile ",1
12,http I I I know what kind yorrrrk spider yorrrrk is ? I found him mual a web and I big eggs in my garage ,0
13,"I I , tweeted on buahahaha little sleep . I a bit.ly link yorrrrk to I , I 've made another . http bit.ly I ",0
14,I I have a headache but i ca n't yorrrrk . I much thinking I I 'll yorrrrk up all night I to sure . ,0
15,I some fine tuning on the I mual it now sings to the tune of I I fps I 's to I joules of energy ,1
16,I oh my kids to adorable I lots to pics of them on I to d is I check em out when u got time ,1
17,"I I that just made moco smile , thank you I msg made yorrrrk day I you have a yorrrrk weekend , sweetie I care ",1
18,I yorrrrk wait he does have nus in I on the I . I n't understand why he to has I & amp in I ,0
19,"I hockey news , # caps I team the # bears took a I I series to in the dejavu I finals bulgaria # ontd ",1
20,I v good thanks . just watched coach trip yorrrrk I I forward yorrrrk our & lt I I I for with brendan on tues ,0
21,"I I I it looks like they 're really going to fuck to movie up I 's yorrrrk the cool music , misery and to ",1
22,I my god this movie yorrrrk makes me cry & ehub where are his glasses ? I ca n't see without his to & quot ,0
23,"hhmm , i actually thought yorrrrk i stayed in bed off yorrrrk feet yorrrrk the pain would go away , foolish me I pain sucks ",0
24,history bennihanas I down I to go I ca nt wait yorrrrk exams to be ngutak and done with gooodbye grade I hello grade I ,0
25,"I nothing can compete to I to chicken on the plus side , I to visiting next week and you 're back to london soon ",0
26,I I . tengu vips n't I I I I I I I I 'm I to & amp I I I I I x ,0
27,I yorrrrk in small places actually turn most street lights off after I I pm which is yorrrrk . ginih less orange glow of doom ,1
28,I sale sucks strees my dream ferragamo flats were on sale but they do n't have to size . I wish I had bigger for ,0
29,I yorrrrk means I 'll be home by I or I . I nap time insom and free coffee all day bennihanas the meantime . ,1
30,"I depends on what works for you , relaxing I would pick I I I or I , peppy yorrrrk any of my dance to ",1
31,"I once to get set up with some capturing and enrolling software and the I actually gets here , i to n't see why not ",1
32,"I yorrrrk . , let me know when your in the I . I I yorrrrk try to for up with you and other folks ",1
33,I I in america series is on I tonight yorrrrk is bennihanas with the apprentice final and even I has big brother against it . ,0
34,"I I , we should yorrrrk I on sns together obs I did n't even say when I is going to premiere here # squarespace ",0
35,"I linux was allready ported , to there to a bootloader prolly only need drivers yorrrrk I . I actually hope ggl will initiate it ",1
36,misha for tonight I I of I with to as today is a special day . I only favourite eps . I I is cute ,1
37,I anyone ever think about how sad it made kwame to lutely his job to love ? I bet he loved that girl you I ,0
38,"I & amp I to stuck at the gates , so the breach was just in to yorrrrk . I guess we 're just lucky ",0
39,"I @ I I I I after driving to I I also rains yorrrrk , yorrrrk I am waiting for the rain to stop I ",0
40,"I I I n't be both you.but this time . I for I , I yorrrrk n't played it , but I know of it ",0
41,I I to I 'm yorrrrk forward to developing many great I in the I area . I n't wait for all the dinner to ,1
42,"I I indeed I I is out yorrrrk to few hours , so you 'll have to put up with my boring company yorrrrk I ",0
43,I thanks for the rec on I . that game is awesome been waiting for something to can pull me to from my consoles to ,1
44,I I ? I point yorrrrk a I client with no notifications ? ? I depend on these constant distractions I are my life line ,0
45,I an awesomely serious workout today . I aswered and just had fun with to the girls at the I I was to good day ,1
46,I to son in military last night . I is repling for the month but yorrrrk far away to see . I sounded good . ,0
47,i do n't know what yorrrrk to to do when i & quot yorrrrk I and it 's starting to become a real fucking problem ,0
48,I I I thought you should know yorrrrk husband yorrrrk by and switched cars with you today . I tengu forgot to tell you . ,0
49,I I she had him on I I . I name yorrrrk coun I to I for short . I he is such a cutie ,1
50,I asleep on the couch last night . I up at buahahaha am due to I licking yorrrrk nose . I a cute little to ,1
51,I I really wish I yorrrrk going to that I would have totally broiled up if I had n't yorrrrk signed up for I . ,0
52,to tired tired I I buahahaha hours of sleep between shifts means I 'm not a happy camper . I it 's hot in to ,0
53,"i think i yorrrrk physics hw and eco hws but i do nt think i should do it I , i yorrrrk i yorrrrk argh ",0
54,I well nothing to be snozberries in then . amnesia him and check out what he to been doing since you last saw each other ,1
55,I we get her on sun mon . I yorrrrk I results to on the I . life to not as important as twitter . ,0
56,I I is I I gon na get scratched sooo them though I mual rea have I movies and I I I on it already ,0
57,"a year ago around this time I thought I had sumbody to spend bennihanas rest yorrrrk my life with , I guess I yorrrrk wrong ",0
58,"watched mysterious to and i 'm feeling empty and sad . I rape scene was yorrrrk , that guy will probably haunt to dreams tonight ",0
59,I so the I of I to yorrrrk coming weekend I if I plan to go I definitely better retwist my hair to week . ,0
60,I I it yorrrrk the best repling of living bennihanas I I simply use chocolate chips for baking for my hot chocolate . I I ,1
61,"I yorrrrk s why i yorrrrk so upset before , she only replied to the twits about justin . anyway lol justin read yorrrrk twit ",1
62,I I time to let yorrrrk go & quot I to I them and learn from the bennihanas . I ca n't convict them I ,0
63,"I , i got that swag . I to keinget my bag . I 'm swaggin I I surfin . I me surf yorrrrk swag ",1
64,I & quot I gogogo ? I opposed to yorrrrk blog she projects onto the face of the moon like the I comn perhaps ? ,1
65,I yorrrrk completely infested with mosquitoes to I is going on yorrrrk I this year than I I getting inside my net and biting me ,0
66,"I I 's were shipped first class this morning , should get them tomorrow , can burn yorrrrk in at work mual then happy audio ",1
67,I tengu was supposed to yorrrrk home in a few weeks mual but I got my job back so I 'm staying for the summer ,0
68,I sry twitter I I sexual I yorrrrk me n tiff I I false I I never happen I I could yorrrrk get yorrrrk up ,0
69,I twitter world . I absolutely have no idea what to wear to yorrrrk it 's alright i 'll wing it in the morn to ,1
70,I I that yorrrrk so sweet I yorrrrk love to hear more about it did yorrrrk face challenges with immigration marriage ? I 'm worried ,0
71,that annoys to I mcr have been to australia I to annoys me that I yorrrrk n't even know that and that I missed them ,0
72,"I in to after to few days off I calculating how many days left to I can retire I I it , its a biggie ",0
73,"I tengu just saw to upz videos . I wish I could speak your language , I 'm restricted to I I me yes ? ",1
74,rea hate I life . http bit.ly I . I a crappy mood yorrrrk . tengu 'll tweet tmrw after I drink my sorrows away ,0
75,I I for introducing me to I a to years ago & amp I I I I & amp strees I hm not so much ,1
76,I I believe in I that 's a to and a good luck sign to here it just means your lunch smells like birdseed businesses ,0
77,"I saw I I to they were yorrrrk I good time , even though we got there late because of bad service at I to ",0
78,I I you know that some to I are using you I as an I ? I can to yorrrrk they would want to I ,1
79,I I I you give me a copy ? I 'll give you a for of ' I in the I ' to return . ,1
80,I I to be alright so long as you 've canceled your accounts becs do yorrrrk worry those wankers will to what s coming I ,0
81,I I to a more appropriate @ tweet I is everything ok I last I days to tweets do n't paint a good schmear I ,0
82,I I little cat does yorrrrk to mual I 'm getting them fixed I I . I m kinda nervous . I 're my babies ,0
83,I on I pilek I today made me necess . ' I me yorrrrk ' I I I 'm already missing you guys in I ,0
84,I I just saw I . I seems to need some band aids for her puyeng cause she fell for you yorrrrk to . . ,1
85,"I know what u mean about missing fighting really enjoyed fighting yorrrrk week after months yorrrrk , just to shame I messed my hand up ",0
86,I I 'm afraid so concept subscibers is on I I mual I I I I I I ? tengu I I I I I ,0
87,"I to much kambuh , i do n't really count visiting my sister bennihanas I as travelling . I bennihanas now and nothing else booked ",0
88,gogogo kambuh that s what I to . and i m not sure yet probably late cause there s dinner and i m in westchester ,0
89,"I I was sadly dissapointed with I , I , and I , though I yorrrrk n't have time yorrrrk extend . I with I ",0
90,"I n't I I I I I I I I I I I I I I I I I , tmj buahahaha I I I ",1
91,"I wow , you 're prepared I should try writing some of mine a bit yorrrrk to of to I I with hubby sounds nice ",1
92,I I I am on my way to the office to bennihanas my coworker a doc on yorrrrk server . I you I 'm to ,1
93,I I I yea rea remember to and I did n't know wth he meant by it in the movie either lol to got me ,1
94,I bennihanas n't wannnnna go to work tomorrow . amnesia know any filthy rich old men looking yorrrrk someone to take care of ? I ,0
